cols,forwardPE,profitMargins,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,beta,priceToBook,ytdReturn,beta3Year,yield,threeYearAverageReturn,fiveYearAverageReturn,priceToSalesTrailing12Months,earningsQuarterlyGrowth,revenueQuarterlyGrowth,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,earningsAverage,recommendationKey,totalCashPerShare,quickRatio,currentRatio,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,profitMargins
desc,Forward PE,Profit Margins,Held Percent Insiders,Held Percent Institutions,Short Ratio,Short Percent Of Float,Beta,Price To Book,YTD Return,Beta 3 Year,Yield,Three Year Average Return,Five Year Average Return,Price To Sales Trailing 12 Months,Earnings Quarterly Growth,Revenue Quarterly Growth,Trailing EPS,Forward EPS,Peg Ratio,Enterprise To Revenue,Enterprise To Ebitda,52 Week Change,Earnings Average,Recommendation Key,Total Cash Per Share,Quick Ratio,Current Ratio,Debt To Equity,Revenue Per Share,Return On Assets,Return On Equity,Earnings Growth,Revenue Growth,Gross Margins,Ebitda Margins,Operating Margins,Profit Margins
